City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Pevek,RU,2022-04-30 20:12:24,69.7008,170.3133,1.87,98,100,4.94
231,Kimbe,PG,2022-04-30 20:14:01,-5.5502,150.1429,74.71,93,100,3.0
232,Farah,AF,2022-04-30 20:14:01,32.5,62.5,82.33,14,100,2.37
233,Seoul,KR,2022-04-30 20:13:00,37.5683,126.9778,47.64,87,0,0.0
234,Hami,CN,2022-04-30 20:00:49,42.8,93.45,60.19,16,0,5.1
235,Narsimhapur,IN,2022-04-30 20:14:02,22.95,79.2,89.49,16,1,8.81
236,Cabo San Lucas,MX,2022-04-30 20:13:59,22.8909,-109.9124,85.6,41,40,8.05
237,Avera,US,2022-04-30 20:14:02,33.194,-82.5271,82.54,40,7,6.91
238,Mandera,KE,2022-04-30 20:14:03,3.9366,41.867,83.64,64,94,8.79
239,High Level,CA,2022-04-30 20:14:03,58.5169,-117.136,41.88,68,93,5.35
240,Turbat,PK,2022-04-30 20:14:04,26.0023,63.044,93.6,23,47,11.12
241,Villarrica,PY,2022-04-30 20:14:04,-25.75,-56.4333,76.82,93,86,2.15
242,Norman Wells,CA,2022-04-30 20:14:05,65.282,-126.8329,46.74,65,31,10.94
243,Salina,US,2022-04-30 20:10:02,38.8403,-97.6114,68.13,40,20,33.38
244,Ulaangom,MN,2022-04-30 20:11:55,49.9811,92.0667,51.1,29,100,2.1
245,Whithorn,JM,2022-04-30 20:14:05,18.2604,-78.0378,79.45,64,99,2.75
246,Nizwa,OM,2022-04-30 20:14:06,22.9333,57.5333,85.1,35,40,3.47
247,Port-Gentil,GA,2022-04-30 20:14:06,-0.7193,8.7815,80.56,83,20,3.44
248,Port Lincoln,AU,2022-04-30 20:09:18,-34.7333,135.8667,58.5,84,22,8.32
249,Apricena,IT,2022-04-30 20:14:07,41.7839,15.4437,52.57,67,6,1.7
250,Touros,BR,2022-04-30 20:14:07,-5.1989,-35.4608,80.98,71,15,15.46
251,Bucerias,MX,2022-04-30 20:14:08,20.75,-105.3333,80.58,57,0,11.5
252,Mabaruma,GY,2022-04-30 20:14:08,8.2,-59.7833,85.03,62,98,8.63
253,Pangnirtung,CA,2022-04-30 20:06:07,66.1451,-65.7125,25.65,91,100,4.9
254,Kasempa,ZM,2022-04-30 20:14:09,-13.4584,25.8338,59.36,63,1,4.25
255,Lasa,IT,2022-04-30 20:09:18,46.6166,10.7002,44.37,96,98,3.36
256,Kodiak,US,2022-04-30 20:14:09,57.79,-152.4072,38.71,93,100,35.68
257,Fairbanks,US,2022-04-30 20:14:09,64.8378,-147.7164,53.49,35,0,9.22
258,Vardo,NO,2022-04-30 20:14:10,70.3705,31.1107,28.09,65,90,16.82
259,Kurchum,KZ,2022-04-30 20:14:10,48.5722,83.6542,63.41,20,100,16.15
260,Peterhead,GB,2022-04-30 20:14:11,57.5058,-1.7981,46.8,94,100,17.38
261,Ancud,CL,2022-04-30 20:14:11,-41.8697,-73.8203,52.0,80,100,6.89
262,Saskylakh,RU,2022-04-30 20:12:17,71.9167,114.0833,10.72,93,100,16.37
263,Kailua,US,2022-04-30 20:09:32,21.4022,-157.7394,78.78,76,75,11.5
264,Ishigaki,JP,2022-04-30 20:14:12,24.3448,124.1572,76.26,86,100,20.33
265,Lakatoro,VU,2022-04-30 20:14:12,-16.0999,167.4164,76.3,88,100,4.25
266,Dunedin,NZ,2022-04-30 20:14:12,-45.8742,170.5036,56.8,74,100,3.0
267,Maniitsoq,GL,2022-04-30 20:14:13,65.4167,-52.9,26.85,63,1,12.17
268,Pionerskiy,RU,2022-04-30 20:14:13,54.9508,20.2275,48.04,70,100,9.6
269,Praia Da Vitoria,PT,2022-04-30 20:14:14,38.7333,-27.0667,64.76,85,66,3.36
270,Boone,US,2022-04-30 20:12:16,39.0334,-92.3335,74.25,44,2,21.68
271,Irbeyskoye,RU,2022-04-30 20:14:14,55.6428,95.4522,53.46,67,100,6.71
272,Abalak,RU,2022-04-30 20:14:15,58.1286,68.5944,33.22,66,77,4.56
