City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Ghatanji,IN,20.1333,78.3167,97.12,21,47,7.45,scattered clouds
202,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.11,98,21,0.96,few clouds
203,Barcelos,PT,41.5388,-8.6151,54.84,91,86,1.03,overcast clouds
204,Sorong,ID,-0.8833,131.25,84.72,72,35,6.87,scattered clouds
205,San Jose,US,37.3394,-121.895,65.28,55,0,14.97,clear sky
206,Mapua,NZ,-41.25,173.1,65.43,100,100,2.21,overcast clouds
207,Sinnar,SD,13.5691,33.5672,87.37,30,56,9.64,broken clouds
208,Fairhope,US,30.523,-87.9033,74.68,67,0,10.0,clear sky
209,Kaitangata,NZ,-46.2817,169.8464,63.12,57,30,3.29,scattered clouds
210,Lata,PT,40.1629,-8.3327,56.07,89,76,4.09,broken clouds
211,Aquin,HT,18.2833,-73.4,76.37,85,91,9.95,overcast clouds
212,Mahebourg,MU,-20.4081,57.7,74.25,84,0,4.74,clear sky
213,Panaba,MX,21.2833,-88.2667,74.98,83,6,9.1,clear sky
214,Upernavik,GL,72.7868,-56.1549,-3.12,86,8,5.61,clear sky
215,Riyadh,SA,24.6877,46.7219,75.34,17,1,7.94,clear sky
216,Muncar,ID,-8.4333,114.3333,86.43,67,99,7.09,overcast clouds
217,Port-Gentil,GA,-0.7193,8.7815,80.8,78,100,5.19,light rain
218,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.07,85,3,10.96,clear sky
219,Bilma,NE,18.6853,12.9164,87.91,11,6,10.25,clear sky
220,Vesyegonsk,RU,58.664,37.2604,33.53,87,36,4.14,scattered clouds
221,Yumen,CN,40.2833,97.2,62.35,9,39,2.66,scattered clouds
222,Bandarbeyla,SO,9.4942,50.8122,82.99,79,32,9.71,scattered clouds
223,Nicolas Bravo,MX,18.45,-88.9167,74.3,90,2,5.12,clear sky
224,Srednekolymsk,RU,67.45,153.6833,34.23,100,100,2.91,overcast clouds
225,Faya,SA,18.3851,42.4509,57.72,53,98,2.89,overcast clouds
226,Korla,CN,41.7597,86.1469,67.06,20,10,9.82,clear sky
227,Ribeira Grande,PT,38.5167,-28.7,61.97,84,24,1.77,few clouds
228,San Quintin,MX,30.4833,-115.95,58.5,81,0,12.21,clear sky
229,Saskylakh,RU,71.9167,114.0833,19.45,88,36,8.12,scattered clouds
230,Rio Gallegos,AR,-51.6226,-69.2181,33.85,100,0,8.05,clear sky
231,Tayoltita,MX,24.0833,-105.9333,64.06,48,69,0.94,broken clouds
232,Houston,US,29.7633,-95.3633,78.35,82,100,19.57,overcast clouds
233,Jacareacanga,BR,-6.2222,-57.7528,73.76,92,19,1.59,few clouds
234,Haines Junction,CA,60.7522,-137.5108,38.53,99,98,4.54,overcast clouds
235,Warri,NG,5.5167,5.75,75.4,88,94,2.62,overcast clouds
236,Antibes,FR,43.5624,7.1278,56.14,81,0,8.05,clear sky
237,Shingu,JP,33.7333,135.9833,65.37,35,100,6.62,overcast clouds
238,Ahuimanu,US,21.4447,-157.8378,80.31,76,100,19.57,moderate rain
239,Flin Flon,CA,54.7682,-101.865,30.58,91,100,6.4,overcast clouds
240,Kandri,IN,21.4167,79.2667,96.37,21,60,6.6,broken clouds
241,Valdemarpils,LV,57.3707,22.5919,32.76,90,21,3.53,few clouds
242,Ahipara,NZ,-35.1667,173.1667,68.04,61,100,5.46,overcast clouds
243,Chokurdakh,RU,70.6333,147.9167,32.29,91,39,11.14,scattered clouds
244,Bosaso,SO,11.2842,49.1816,85.28,66,3,8.23,clear sky
245,Santa,PH,17.486,120.4348,92.01,71,43,7.45,scattered clouds
246,Nioro,GM,13.35,-15.75,78.19,35,39,4.56,scattered clouds
247,Palmerston,AU,-12.486,130.9833,90.9,43,0,18.41,clear sky
248,Jiblah,YE,13.9216,44.1467,64.44,64,30,1.19,scattered clouds
249,Kashi,CN,39.4547,75.9797,67.21,14,99,11.18,overcast clouds
250,Victoria,HK,22.2855,114.1577,67.32,86,100,1.99,overcast clouds
251,Nouakchott,MR,18.0858,-15.9785,67.1,81,6,14.36,clear sky
252,Corrales,US,35.2378,-106.6067,75.04,8,0,12.66,clear sky
253,Kulunda,RU,52.566,78.9385,60.64,54,22,17.18,few clouds
254,Aragarcas,BR,-15.8975,-52.2508,70.02,55,66,2.3,broken clouds
255,Sitka,US,57.0531,-135.33,46.29,76,100,12.66,light rain
256,Komsomolskiy,UZ,40.4272,71.7189,77.72,36,97,2.3,overcast clouds
257,Adolfo Lopez Mateos,MX,28.4667,-107.3,64.92,18,0,12.97,clear sky
258,Norman Wells,CA,65.282,-126.8329,48.65,64,95,14.38,overcast clouds
259,Roma,US,43.2128,-75.4557,57.87,41,40,5.75,scattered clouds
260,Atambua,ID,-9.1061,124.8925,86.16,50,98,3.58,overcast clouds
261,Kirkuk,IQ,35.4681,44.3922,63.39,77,0,3.27,clear sky
